Author,Published At,Comment,Likes
@edrps2664,2025-03-29T09:28:10Z,Menyalaa ko bobon 🔥🔥🔥,0
@kecehabis,2025-03-29T09:25:25Z,Willie cengeng,1
@yuyus24munandar40,2025-03-29T09:24:09Z,Saya,0
@malindairashya9954,2025-03-29T09:22:42Z,Ada yg ketawa 😂😂😂😂😂,0
@Viopioofficial,2025-03-29T09:13:40Z,"Sangat membangongkan sih alasanya,ikut ikutan masak besar hasilnya zong udah gak ada konten laen ikut ikutan konten koh babon,buat citra masak besar jd kacau😂😢",0
@noidgame_,2025-03-29T09:13:38Z,Willie mencoba manipulasi,2
@aihnuraidah-e2i,2025-03-29T09:13:09Z,"Udah gw bilang itu gimmick si WS, cm dia gk nyangka bkl gaduh.",0
@pancangmalewa7085,2025-03-29T09:12:19Z,"Ini bapak2, ngebahas apaan sih ??",0
@piluyrangers1707,2025-03-29T09:07:54Z,Satupun konten wilie Salim GK pernah gw tonton 😅,1
@TaufiqQurrahman-n5z,2025-03-29T09:07:28Z,Willieee lawak,0
@DidiMustaridi,2025-03-29T09:05:55Z,Inti saya selaku orng palembang<br><br>Jika benar itu setingan wrga palembang akan datangin kediaman ws,1
@aftonin3976,2025-03-29T09:05:24Z,TEAM GOBLOKERS ❤,0
@aisyahcalay7456,2025-03-29T09:05:09Z,"Masaa iya masakan ilangg, kan disana ada kamera yg full time masa gak ke rekam sih anehh battt😭😂",0
@dzkmld4671,2025-03-29T08:57:13Z,Stay focus ke issue issue Pemerintahan please. Muak liat orang disgusting judgemental ke orang disgusting lainnya.,0
@langitares5814,2025-03-29T08:50:12Z,Hmmmm,0
@BNGYANEVERY994,2025-03-29T08:49:12Z,"Liat kontennya bobon colab sama Willie dia lagi masak gurita,,entar tau sendiri tingkah lakunya,,buat yg belum pernah liat😊",1
@CholisNur-f5m,2025-03-29T08:48:27Z,Intinya KONTEN YG KELUAR MODAL Udah PASTI DIA CARI UNTUNG.,0
@makmursentosa4456,2025-03-29T08:44:55Z,"Pengen tenar sendiri wilie,kaya ngak ajak2,harusnya libatin juga bobon yang lebih profesional,takut amat disaingin",0
@rucoyonline2398,2025-03-29T08:44:55Z,Keliatan banget bohong nya wkwkw cara ngomongnya muter-muter sama rada kaku wkwkwwkwk,1
@GgGoogle-n7i,2025-03-29T08:42:50Z,Alhamdulillah bang bobon dapet hidayah 👍,0
@Gitasafitri-c2r,2025-03-29T08:41:55Z,butuh klarifikasi bukan dongeng sebelum tidur🗿,0
@SigitCahyo-bi1uq,2025-03-29T08:41:31Z,Mantap bon gw dukung lu 100% dari dulu gw mah emng g suka dengan wilie tapi apalah daya gw cuma orang biasa sikat bon,1
@makmursentosa4456,2025-03-29T08:40:54Z,"Wilie salim,atta youtuber kaya tapi kontenyanya apa saya juga ngak tau",0
@nandanandi-y7w,2025-03-29T08:40:30Z,Bocil yg sok tau jangan komentar 😂😂😂,0
@Rgabud,2025-03-29T08:36:17Z,Wili kebelet jadi ketoilet dulu...karena toilet nya jauh.. jadi wili ke mobil <br><br>Ngapain.. pipis??? <br><br>Makan om🤣🤣,0
@aditiyaafifnurhuda259,2025-03-29T08:35:54Z,GW SEDIHHH,1
@pentaa790,2025-03-29T08:31:58Z,"Beda banget sama komen tiktok,<br>Kalo ditiktok full bela wili salim dan malah ngehate bobon",0
@cennedysitungkir2032,2025-03-29T08:30:40Z,"Daging mentah busuk dibilang rendang, hanya willie salim &amp; para netizen buzzer nya yg anggap daging mentah itu rendang. 😂😂😂",0
@RaitoKurozawa,2025-03-29T08:30:37Z,gw yakin si WS ini kalo pun hadir pasti nangis2 kayak podcast sebelumnya om Ded😂😂 menyek menyek si paling galau😂😂,1
@RESKY_KUN,2025-03-29T08:29:19Z,Hrusnya willi mintak maaf dan meluruskan opini d masyarkat gantle,0
@DianOktarina-h6j,2025-03-29T08:27:40Z,hiaaah kabuuuur dia😂😂😂 cemen,0
@titos77,2025-03-29T08:25:55Z,GK sanggupkah menyaingi Willie sehingga harus memanfaatkan kesempatan dengan menjelekkan nama Willie..<br>Katanya baik..  koq justru menjelek jelekkan orang yg berbuat baik..<br>Sadar diri lah.. jangan justru menimpalkan kesalahan kepada orang lain hanya karena kalian tidak suka<br>Bobrok koq dipelihara,0
@AsepRipandi,2025-03-29T08:23:18Z,Sapi 1 ton.. Sapi kurban presiden juga gak nyampe,0
@gachaless,2025-03-29T08:18:50Z,"kebelet, lalu ke mobil buat makan? MAKSUDNYA? lu makan sambil nahan berak/pipis gitu?😂",0
@salbinong85,2025-03-29T08:18:34Z,"Lagian ngapain si wille berbagi harus masak-masak,kayak sengaja bgt ngikutin konten nya ko bobon Santoso,berbagi kan bisa sembako dan yg lainnya,biasa ya kan berbagi uang sm iPhone 😅😅",0
@ShafaEmir,2025-03-29T08:18:04Z,Bon juga terlalu gimana gitu.,0
@NFOR-N3Y,2025-03-29T08:17:59Z,Sakit perut gw nonton video ini,0
@PutriAgustian-i6c,2025-03-29T08:16:54Z,"Keren sih 𝗟𝗘𝗦𝗧𝗜𝟳𝟳, main bentar auto jepe.",0
@luarbiasa8888,2025-03-29T08:16:36Z,Tolong potcast nya jgn di tambah2 donk... Buat apa bahas dia mau masak lg dimana kek itu urusan dia... Intinya dia niat baik,0
@gustinawati1593,2025-03-29T08:15:37Z,Sesekali dong Willie Salim coba masak masak besar di papua juga seperti koh Bobon 🔥,0
@mekkamekka4782,2025-03-29T08:15:22Z,Bobon orng lg ngomong d skat.,0
@anasmokodompit8281,2025-03-29T08:15:11Z,Menurut gw wili salim adalah konten kreator terBODOH sepanjang sejarah.,0
@mekkamekka4782,2025-03-29T08:13:29Z,Kata gw si sie willi dr awal tujuan baik,0
@BangGodrel-f3u,2025-03-29T08:11:13Z,Bobon is the best,0
@InfoPenginapanPangandaran,2025-03-29T08:10:32Z,Jilid 3 giliran pembuktian Bobon Santoso,0
@ZahraMeidina20,2025-03-29T08:10:30Z,"Lebih suka sama kak bobon daripada ws, dari segi konten dan sifatnya",0
@InfoPenginapanPangandaran,2025-03-29T08:10:07Z,"Udah nonton Rendang Jilid 2 karya Dr. Ricard Lee ??<br><br>Masih sama itu bro, padahal udah di pagar, persiapannya juga kayaknya bener bener mateng",0
@SolihinFaisal,2025-03-29T08:09:26Z,"Gak suka Willy Salim,<br>Go Gogon santosaon",0
@nabilaluna8486,2025-03-29T08:09:10Z,Bagus banget gimiknya 🎉,0
@informamudachannel,2025-03-29T08:08:35Z,"KACAUUUUUUU ,dari omongannya aja keliatan banget mana yang keliatan bener",0
@R2Family_,2025-03-29T08:01:51Z,Mungkin willi takut itu ketemu bobon😂makanya alasan gk bisa datang,0
@aritri1996,2025-03-29T08:01:35Z,"Menurut gua itu setingan , bobon yg udh berpuluh² kali konten masak ga pernah kejadian seperti itu .<br>Trus dsitu ada crew ada polisi juga yg jaga , ga mungkin banget kalo bukan settingan",0
@XhanRawan,2025-03-29T08:00:35Z,NANYA MASAK RENDANG BRPA LAMA JAWABNYA DARI JAKARTA KE TASIK PANJAAANG,0
@kadekedi55,2025-03-29T07:59:15Z,"Si Willie Salim ini dari awal emang konten&#39;a kebanyakan hoaks dan setinggan ,, hari ini nama sebuah daerah d pertaruhkan ... Mungkin suatu saat nanti ,, kalau gak ada tindak lanjut mungkin bisa aja nanti  ada daerah lain yang d buat malu....",0
@RaraRhmwt29,2025-03-29T07:55:15Z,Oposih jawabe muter muter ws,0
@Keyperr,2025-03-29T07:53:31Z,Gak gentel Si Wili gak mau dateng!,0
@WitaRamadani-lp6gd,2025-03-29T07:52:53Z,"Baru dengar namanya ,juga baru liat orangnya baru2 ini",0
@andribangun7402,2025-03-29T07:52:44Z,Sesama cina jangan saking menjatuhkan...woiiii cinaaaaaa,0
@Piann_y,2025-03-29T07:51:17Z,Konten Willie Sallim itu ngak ada gunanya semuanya itu setingan konten sampah tuh,0
@acakkadut98,2025-03-29T07:47:34Z,Mendingan bobon,0
@SigridDark15,2025-03-29T07:46:50Z,gagal di palembang trus masak lagi di semarang dan sukses.. maka jelas yg di salahkan pas di palembang adalah warga palembang nya sdangkn dia wili kunyuk yg nyeting dan membayar oknum jadi gk bersalah..,0
@SigitWardoyo-k3u,2025-03-29T07:46:09Z,Seharusnya Willie cari..konsep yg Laen... untuk acara masak&quot; besar...kan itu udah ranahnya bang bobon.... dengan kejadian kaya gini... ditakutkan akan berpengaruh ke percayaan masyarakat ke acara masak&quot; besar...dan pastinya bang bobon...yg jg kena imbasnya... mending saling jaga ranahnya masing&quot;...,0
@AHi-i1s,2025-03-29T07:43:16Z,Aku lebih resfek sama bobon tulus bner,0
@rajudhidayat2905,2025-03-29T07:39:10Z,"Konten masak rendang Willy Salim di Palembang 100℅ murni settingan, karena apa? Rendang nya gak matang&quot; dan hari pun mulai larut akhirnya disetting lah itu rendang hilang supaya dia tidak kecapean belum nanti bagi&quot; nya juga hahaha <br>Intinya semua tidak sesuai dengan rencananya 😂😂",1
@opposkw1629,2025-03-29T07:38:41Z,"Bobon,terlalu gampang nuduh org,<br>Apalagi bobon qa suka sama will😂😂",0
@ayummelinda687,2025-03-29T07:38:33Z,Bobon udah kek nahan emosi wkwkwk sabar bg sabar 😂😂,0
@ajunjuanda982,2025-03-29T07:38:22Z,"saya pengen tau, apa yang terjadi pada acara willy salim masak besar",0
@aa-qk6ds,2025-03-29T07:38:08Z,"beginilah akhlax anak zaman now ketika punya banyak duit ,",0
@MichaelJohan-q4d,2025-03-29T07:35:47Z,Ada ora kebelet terus malah makan di mobil.... <br>Masuk akal ga si. <br>Cuma orang bego yg percaya!!!,0
@alaatungtv2911,2025-03-29T07:33:24Z,"kalo motifnya masak hanya persaingan konten tanpa didasari hati yg tulus  y susah juga y,, lagian gk bisa apa y bikin konten yg lain gitu",0
@kingstone17,2025-03-29T07:33:16Z,"<a href=""https://www.youtube.com/watch?v=ygcodv_xrUE&amp;t=1413"">23:33</a> Bener2 setingan, kalau dia ngomong jauh bohong om, Toilet ada dekat situ om Ded, di deket dermaga itu ada toilet deket mushola paling jalan dari tempat masak2 butuh waktu 2 - 3 menit jaraknya +- 60 meter",0
@bayushidiq,2025-03-29T07:30:57Z,penjelasan yg ngalor ngidul dari pertanyaan adalah bukti org mencari alasan &quot;MENURUT GW&quot; .,0
@blablachanel6638,2025-03-29T07:29:51Z,"Wili atau bobon, sama2 nyari popularitas, yg satu lagi apes, yg satu manfaatin orang yg lagi apes, dan yg satunya lagi ngumpulin orang yg bersangkutan agar tetap exis, yg di untungkan tampa repot ya para tersangka korupsi di indonesia",0
@CandraWijaya-w5v,2025-03-29T07:27:45Z,Dia ke mobil pipis di botol..wwkkwk..mana ada yg kebelet makan..busyet😂😂😂..,0
@KevinOli-l2y,2025-03-29T07:26:45Z,Ga jelas kalian semua.,0
@DwiJarot-zb8cy,2025-03-29T07:23:18Z,KLO aparat bayak GK mungkin warga Sampek rebutan kyk gtu,0
@SriHandayani68-zy1gn,2025-03-29T07:21:29Z,"Emg bener sih ngga semua niat baik bisa di terima dg baik.<br>Semangat ka willie salim, tetaplah berbuat baik😊",1
@izabeldiaz6561,2025-03-29T07:19:53Z,Emg ga suka aja sama konten ws karna jadi jual kemiskinan,0
@Rahsyagnz,2025-03-29T07:19:18Z,Willy Salim demi follow pengikut dia rela ngikutin konten orang cuman setingan hadeh suka pmer uang tapi ga ikhlas bantuin orang,0
@Karekda,2025-03-29T07:18:41Z,Mencla mencle,0
@Rahsyagnz,2025-03-29T07:17:18Z,Willy Salim emang gitu semuanya setingan dari bagi hp tau pun apah dari wajah Willy Salim gw tau kalau bukan karna netizen dia ga bkln jadi seleb Setega itu yahh Willy Salim demi konten doang,1
@ManMann-s1d,2025-03-29T07:16:57Z,Palembang bang bang memiliki kota rakuss yang tidak ber attitude,0
@azwaranas88,2025-03-29T07:13:04Z,"salahnya WS, udah tau acaranya gagal dan bermasalah,  kontenya masih diupload,. malah dibuat judul gede di thumbnailnya TRAGEDI RENDANG HILANG,. kalo emng ngga niat menjatuhkan martabat Palembang,. dia ngga bakal upload ini konten,.",0
@mohammadhassan4738,2025-03-29T07:12:53Z,Sangat memalukan,0
@AjiPriono-h3v,2025-03-29T07:12:28Z,Alibi banget muter muter mulu willy,0
@kristinsutanto,2025-03-29T07:11:33Z,Bobon sabar banget ya<br>3 menit pertama telp udah pengen nampol rasanya,0
@Pingwin-t4r,2025-03-29T07:10:18Z,"Yang nonton si wili kebanyakan bocil, atau ga ema emak mental pengemis, fakta!!",0
@Herli-j9c,2025-03-29T07:10:03Z,Saya...,0
@bgf_official7788,2025-03-29T07:09:49Z,"Dan sampai saat ini,.<br>Khusus Warga tiktokers, Ntah itu Viewers WS atau orang yg gak suka sama orang palembang,.Terus saja menghujat, mencaci orang² atau nama kota palembang...<br> Emng anjggg tuh si wili.",1
@puppybear-e5i,2025-03-29T07:09:02Z,"willie harusnya belajar, saya ingat ada salah satu kasus tiktoker jg yang menuduh salah satu warga desa mencuri hpnya dan disitu habis ia diserang oleh netizen, penduduk desa tsb pun pasti geram dgn tingkahnya. apalagi ini willie, kamu menuduh org banyak😅 1 org saja yang difitnah semua org pasti akan membela dan menyerang kamu, apalagi ini banyak org 😅",0
@adhiphiyiekzt3109,2025-03-29T07:07:41Z,kecilacap mas,0
@DwiYanti-yn4tw,2025-03-29T07:07:30Z,Orang Palembang itu orang Sumatra .dan berjiwa bar bar..kata gua mah intinya .si Wili lagi apes doang..yg ga tau pasti cerita faktanya. Jangan ngehakimin.,0
@MSultanAlAziz,2025-03-29T07:05:40Z,"Pikir positif sj... Niat willy salim baik... Tp kurang persiapan,pengalaman, dan pengamanan, krna baru,,,sy asli dri palembang n tingal di 24 ilir dekt dgn bkb tempat kejadian....memang disekitar situ gak rawan krna  deket pasr 16 n rumah susun bnyak jg permen dsna,bnyk jg budak Alboin(anak2 yg ngisep lem) klo ada acara gratis pasti mereka ngumpul  dri mana2 keluar,,,walaupun ad polisi cm pasti kalah klo massa seremban alias sebanyak itu,, ,,, sy yg asli disana dan tingal dket sn klo acra gratis dk pernh dtg lawaupun bisa jln kaki dri rmh...... Soalny takut... Tp klo mlm minggu ke bkb main disna enak bnyak macem2 kuliner di atas prahu...klo ada pasr mlm di sna jg masih aman...",0
@WHY_99,2025-03-29T07:05:22Z,bocah manipulatif,0
@maidariansyah3743,2025-03-29T07:05:20Z,PADANG=MALING KUNDANG..<br>PALEMBANG=MALING RENDANG..😂😂😂,0
@enzomeda214,2025-03-29T07:00:02Z,"Jujur gw baru tau nama WS karna kasus settingan rendang, selebihnya gw gak tau siapa nih bocah?",0
@almerbosbagusalmerbosbagus8581,2025-03-29T06:59:10Z,"Mau alesan apapun pak polisinya bilang warga yg ngambil pakai panci pakai ember... Pak bon nya di wilayah laing yg orang nya gampang di atur punya malau tidak serakah jadi sukses aman damai. Mungkin tempat yg kemarin ilang lebih brutal orang nya mental ngambil/ alias maling.. <br>Alesan apapun klarifikasi apapun orang yang kuat tidak milikan tidak maling Nemu uang segepok depan mata aja di kembalikan ke yg punya di cari yang punya, ang eng Ong ga beradab amat malah pemerintah setempat mengutuk ngutuk bukanya minta maaf atas perlakuan warganya yg memalukan.. di kumpulin yg ngambil kan bakal ketahuan seperti maling kecelakaan kasur.. suruh minta maaf... Malah di perumit buktinya aja daginya sudah lenyap..",0
@agusbanuanta3213,2025-03-29T06:58:29Z,Gue lebih dukung dan percaya Bobon Santos,0
@yogacmstube3263,2025-03-29T06:58:11Z,Tombol ludahin willi &gt;&gt;&gt;,0
@sonyland1414,2025-03-29T06:56:29Z,Dua&quot;nya baik...semoga bisa akur lagi,0
@adhiphiyiekzt3109,2025-03-29T06:55:54Z,mas bobon ke Cilacap donk.....<br>jawa Tengah 🎉🎉🎉🎉🎉,0
@ekosulistiyono417,2025-03-29T06:53:46Z,Ngadu orang mulu tak 😊,0
@JohnJuniorHam,2025-03-29T06:48:38Z,Bobon x Deddy gas🎉🎉,0
@AniplanExplorers,2025-03-29T06:47:34Z,Memberi mengharap kembali luculucu😂,0
@iphankxxx613,2025-03-29T06:45:45Z,"SELAMAT BUAT WILLIE SALIM, KESULTANAN PALEMBANG MENETAPKAN ANDA DILARANG MENGINJAKKAN KAKI DI TANAH PALEMBANG SEUMUR HIDUP ATAU NYAWA LOE JD TARUHANNYA.",1
@siskamandayani,2025-03-29T06:44:56Z,ws ga nyambung,0
@Agus12-jf2yr,2025-03-29T06:44:47Z,"Klo emng niat nya bantu kenapaa lu konteni dagingnya habis, seolah&quot;warga palembang rakus hah wili&quot;😂",0
@YadiGading-x3x,2025-03-29T06:43:38Z,"manusia kalau sifatnya serakah apapun akan selalu dia lakukan,<br>walaupun dia tau resikonya seperti apa",0
@Alnadjihanmufti2810,2025-03-29T06:43:15Z,"Sayaaa, tengil kontennya",0
@DDDHoby,2025-03-29T06:41:37Z,Aii budak ini cemano😡,0
@wan_wan-o4h,2025-03-29T06:38:33Z,Dari dulu paling tidak suka yang namanya willie salim,2
@AiraFurqon,2025-03-29T06:33:34Z,gimana kabar acara dr Richard yg diunggah liputan 6???? mana sueara org palembg????,0
@deuzcacha,2025-03-29T06:31:54Z,Willi salim ngomong muter muter nga jelas,0
@ezarcenei5173,2025-03-29T06:31:50Z,"Bang babon dan Dedy hari ini tanggal 29 di tiktok fyp di Palembang diadakan lagi masak besar rendang yg di bikin dr Richard dan Pemkot Palembang, sudah di rencanakan ternyata masih ricuh... Gmn ini dong.. apa perlu bang babon yg langsung turun tangan..",0
@miaboyan9407,2025-03-29T06:27:28Z,"Mas bobon ketemu sama willy itu ga perlu di podcast in, ktmu offline pun jg bisa. Ya ampiun kesane mas bobon itu buruk hati lo su&#39;udzon lo sama willy 😢😢😢",0
@nursatya9892,2025-03-29T06:23:13Z,Kemarin ada masak rendang lagi di Palembang tertib lancar ya,1
@Absolute-s6i,2025-03-29T06:21:41Z,Berati doi emang gk ada adab,1
@rizalrenegar,2025-03-29T06:20:05Z,Kasih paham ketua,0
@miaboyan9407,2025-03-29T06:18:18Z,"Ditelepon jg jelas banget penjelasannya, gitu baca komen berbelit2 muter2 padahal jelas banget lo kronologinya, detil penjelasan dia. Kalau emg org gasuka beda nangkepnya emang..",1
@ferdiandwi2219,2025-03-29T06:17:26Z,Bocah halu bang kmrn haluu mr beast skrg mau halu setingan bier tenar,0
@ChessWahyu,2025-03-29T06:16:04Z,Udah yapping nya Willie?,0
@WahyuRamadhan-kr3xv,2025-03-29T06:14:13Z,Muter2 😂😂 bingung cari jln keluar,0
@povme4,2025-03-29T06:13:30Z,Puasa ga om,0
@siskamandayani,2025-03-29T06:12:22Z,suka bobon sih,0
@antowijayavlog2507,2025-03-29T06:12:15Z,"Gua aja gapernah percaya konten2 willy itu give2, semuanya settingan, mana pernah ada yg dapat asli give2 gitu",2
@Purplegirl97,2025-03-29T06:11:35Z,"Engga habis pikir sama Ws msalah yg di palembang saja belum kelar eh malah buat masak2 lgi di semarang, bukanya selesaikan dlu mslah yg satu malah makin tambah mslah, kalau kyak gini kesenya kyak ngeledek bner kta om bobon, netizen mlah makin menjelek2kan palembang dengan terus membanding2kan plmbng dengan kota lain, willie lo tanggung jawab buat balikin citra nama palembng, gua sbgai org plmbng ga Terima, terlepas niat lo baik dtg ke plmbng, tp lo udah mencoreng nama baik kota palembng.",2
@mukhammadhariyantoyanto1639,2025-03-29T06:11:33Z,Om ded undang Riki Kambuaya donkkkk.......,0
@juatimu2222,2025-03-29T06:09:58Z,"Bentar , ada point penting.<br>1. Willy pertama ke Palembang  bantu orang yang motornya blablabla<br>2.willy kepikiran masak besar baru setelah bantu orang tsb<br>Pertanyaan gua : kalau masak besar itu bukannya harus pakai kuali custom ya?<br>Bukannya ga ada yang ready atau yang jual kuali besar?<br>Atau emang sudah siapkan jauh&quot; hari?<br>Kalau ada yang tau ada yang jual kuali besar?",9
@xdpiam,2025-03-29T06:08:23Z,bahas rendang aja 1 jam @dedycobuzer,0
@Shincan3311,2025-03-29T06:08:12Z,Ini kenapa gak nyimak soal nya,0
@miaboyan9407,2025-03-29T06:05:55Z,"Waktu dlu masih anak2, skrg udah makin dewasa.. namanya jg bertumbuh, harusnya di blg in itu si willy biar dia itu ngerti kadang kalau org ga di blg in itu gatau, apalagi usia masih remaja. Sampek skrg si willy bingung knpa dia ga disukain ya karena gada komunikasi, ngmgnya kemana2 ga ke orgnya lgsg wkwkwk..<br>Gpp will mimpimu besar kadang memang disepelekan, asalkan km tunjukin bahwa km bertumbuh makin dewasa dan baik.. semangat tebar kebaikan,   ikhlas berbagi karena Tuhan Maha Melihat.",0
@samsiwahid8063,2025-03-29T06:03:43Z,"Kl ngaku, auto masuk bui dong...",0
@DalvanNois,2025-03-29T06:01:48Z,mabok Hela atuh,0
@aketdjie3404,2025-03-29T05:58:59Z,"Willy Salim, ngomongnya berbelit-belit.",0
@rivauljavier8396,2025-03-29T05:58:03Z,"Buat Youtuber non-muslim kalau kena kasus GAMPANG solusinya. Jadilah MUALAF, nanti para SDM rendah yg membencimu berbalik menyukaimu lagi. Flashback, dulu ada influencer non-muslim kena masalah sama pilot 0 Grafiti., jutaan subsnya ilang. Setelah Mualaf subsnya balik lagi. Bisa dibuat pembelajaran.",1
@im_vins45,2025-03-29T05:57:38Z,"Saya pribadi Dari dulu, asal WS lewat diberanda atau fyp² an langsung saya skip, saya scroll down..",0
@WatiAwak,2025-03-29T05:56:04Z,"babon lagi ada kesempatan menambah pengikut, belain palembang, jatohkan willy salim karna sirik, dn tidak suka karna willy level diatas dia. gw paham akal2lan pemain🎉🎉",0
@JapAni-x7x,2025-03-29T05:55:39Z,"Sblm viral.loe bilang di tinggal ke toilet sebentar,rendang nya langsung habis<br>pas udh viral.ada saksi yg bilang loe (wili) ada di mobil.bearti konten ini udh di rencana in.dibikin kek semacam kemalingan.biar seru.tapi ulah kau,kami se-sumsel kena semua.lum tau kau rasa nya pisau masuk ke perut atau di mandiin cuko parah",0
@cahyosasmito3919,2025-03-29T05:54:48Z,"Bobon agak kurang sopan,orang menjelaskan dari awal. Sya penasaran keganggu banget di potong2",0
@sandradermawan7241,2025-03-29T05:54:41Z,"Berbuat baik belum tentu di terima dgn baik, menurut saya si bobon sih masak besar jg konten. Semua konten",0
@indrasaputraofficial,2025-03-29T05:53:05Z,sebenernya yg settingan ini adalah konten gw...,0
@aishsiti3049,2025-03-29T05:52:58Z,Koh bobon smkin brkarisma dn bijak❤,0
